system:index,vh,vh_vv_ratio,vv,angle,date,dewpoint_temperature_2m,latitude,longitude,oil_candidate,orbit_direction,orbit_type,surface_net_solar_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction_degrees,wind_speed_10m,.geo,nasa_power_air_temp_2m,nasa_power_max_air_temp_2m,nasa_power_min_air_temp_2m,nasa_power_wind_speed_2m_m/s,nasa_power_precipitation_mm,nasa_power_solar_radiation_MJm2day,num_ships_near_point,closest_ship_distance_km,avg_ship_speed,Towing,Dredging_or_underwater_ops,Other_Special_category,Cargo,Pleasure_craft_yachts,Passenger,Tug,Tanker,Fishing,Search_and_rescue_vessel,Cargo_hazardous_A,Unknown_0,Cargo_hazardous_B,Sailing,Cargo_unspecified,Port_tender,Unknown_38,Law_enforcement_vessel,High_speed_craft_HSC,Cargo_hazardous_C,Spare_local_use,Unknown_12,Military_operations,Tanker_hazardous_types_A_to_D,Anti_pollution_equipment,Tanker_hazardous_types_A_to_D.1,Pilot_vessel,Cargo_hazardous_D,Unknown_66,Tanker_unspecified,Undefined_Unknown,Wing_in_ground_WIG_hovercraft_hydrofoils,Unknown_87,Tanker_hazardous_types_A_to_D.2,Unknown_94,Unknown_95,Unknown_49,Towing_length_gt_200m_or_width_gt_25m,Passenger_hazardous_cargo,Unknown_255,Tanker_hazardous_types_A_to_D.3,Unknown_77,Unknown_96,Unknown_2,Unknown_18,Noncombatant_ship_military_support,Unknown_97,Unknown_10,Unknown_39
85_1_18,-31.98866186802745,1.3446759644925743,-23.78912296547121,41.560089111328125,2018-01-05,258.20805104573566,37.53860754166686,-76.49621239316409,1,0,ASC,2248053.833333333,101500.81868489584,266.34217834472656,0.0006315488475624,6.280488967895508,-3.036351958910624,115.801811424305,6.975956916025039,"{""type"":""Point"",""coordinates"":[-76.49621239316409,37.53860754166686]}",-6.84,-3.59,-8.87,6.01,0.0,9.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85_1_192,-35.04130267767173,1.5099954663780326,-23.20623038804477,44.69080352783203,2018-01-05,255.4060490926107,39.39199763548393,-76.21323492350629,1,0,ASC,2078877.75,101197.90201822916,263.6598052978516,0.000395452986962,6.788220087687175,-3.066076080004374,114.30755183488496,7.448540426637601,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",-10.8,-8.9,-12.65,5.49,0.02,8.79,2,6.0755177927425645,7.742857142857142,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85_1_290,-30.866720812645983,1.3711974381431664,-22.51077777277994,43.94095230102539,2018-01-05,255.5510686238607,38.73392230176207,-76.24842717678327,1,0,ASC,1575010.4166666667,101502.2353515625,265.1309967041016,0.0005888411882583,8.980318069458008,-4.3361566464106245,115.7736256315806,9.972380211907538,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}",-8.86,-6.15,-10.36,6.1,0.0,9.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86_1_155,-30.466955847533534,1.236908158524528,-24.63154247755685,39.90116882324219,2018-01-12,284.093163172404,39.27013844854375,-75.14868522138924,1,0,ASC,731307.75,101507.62727864584,284.6348342895508,0.0032417029762494,-1.07067608833313,6.277905384699504,-9.678486714049429,6.36855111507848,"{""type"":""Point"",""coordinates"":[-75.14868522138924,39.27013844854375]}",12.39,16.12,9.35,5.27,17.23,1.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87_1_41,-27.055937590380225,1.2110319906173237,-22.34122450934468,40.67198181152344,2018-01-24,271.6414031982422,39.33518587725137,-75.00825585474045,1,0,ASC,2143668.9166666665,101252.5751953125,278.4684352874756,0.0005129103215277,4.711322029431661,-1.118513107299805,103.35531569716476,4.842274964952892,"{""type"":""Point"",""coordinates"":[-75.00825585474045,39.33518587725137]}",2.41,6.49,-1.81,3.87,0.0,7.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87_1_155,-30.91214543898344,1.3961199597172569,-22.14146801915488,39.9057731628418,2018-01-24,271.5244598388672,39.27013844854375,-75.14868522138924,1,0,ASC,2090757.4166666667,101283.3251953125,278.4270127614339,0.0004745733590662,5.101336677869161,-1.248111089070638,103.7481131419404,5.251801328271497,"{""type"":""Point"",""coordinates"":[-75.14868522138924,39.27013844854375]}",2.41,6.49,-1.81,3.87,0.0,7.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87_1_192,-31.15918204826345,1.4077034746648385,-22.1347624759413,34.438472747802734,2018-01-24,270.6928354899089,39.39199763548393,-76.21323492350629,1,0,ASC,1904437.4166666667,101263.0751953125,277.6689561208089,0.0004926385334869,4.056699633598328,-1.1654287974039714,106.02856249046395,4.220786206271916,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",1.68,5.23,-1.28,3.08,0.0,6.92,12,6.021348918764493,7.846835443037977,65.0,,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87_1_250,-29.09941495096008,1.1623988883454983,-25.03393219205393,34.66923141479492,2018-01-24,274.6025848388672,37.71258471480023,-75.77961592134223,1,0,ASC,3018629.083333333,101503.9501953125,279.45810000101727,0.00076985352752,3.537209073702494,-2.778587977091471,128.15073894178548,4.498043927922507,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}",5.1,6.88,2.92,4.14,0.1,11.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87_1_353,-26.144347381434248,0.9526444513867008,-27.443971718281325,37.729942321777344,2018-01-24,273.2530568440755,38.09823983370037,-75.31005489957126,1,0,ASC,2879138.75,101455.49186197916,280.1102809906006,0.0008046452553808,3.864886482556661,-1.844424565633138,115.51169282984122,4.282434996746616,"{""type"":""Point"",""coordinates"":[-75.31005489957126,38.09823983370037]}",5.35,6.64,2.86,5.39,0.02,7.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87_1_398,-29.79416203570802,1.125609640519056,-26.46935577236967,32.06235885620117,2018-01-24,274.7078908284505,36.94709711009913,-76.04567074652736,1,0,ASC,3306471.833333333,101554.03352864584,281.0578721364339,0.000408930018717,3.809344490369161,-1.919253667195638,116.74023598745516,4.2655175635964495,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}",5.59,9.52,2.71,2.57,0.1,12.95,55,0.054285624774998,3.393113822497075,237.0,,3839.0,299.0,267.0,21.0,,,180.0,,,,,,21.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
