Date,Unique_Vessels,Total_Positions,Unique_Lat_Lon_Count,Min_LAT,Max_LAT,Min_LON,Max_LON
2023-01-03,15949,7764316,3328499,-4.59537,58.00593,-177.23195,166.85462
2023-01-10,16152,8135468,3620256,-5.93836,76.16426,-178.98462,178.48077
2023-01-15,15231,8092890,3477728,1.30679,85.04684,-166.76512,146.58037
2023-01-22,15503,7717319,3370208,2.50983,89.90528,-161.29101,146.08642
2023-01-27,14834,7413873,3379186,0.11667,50.13255,-166.76512,157.0
2023-02-08,15146,7527432,3285647,2.32345,86.26218,-161.69831,160.59787
2023-02-15,15800,7589572,3338629,3.53232,86.85896,-160.07188,145.53801
2023-02-20,15663,7643471,3479076,3.29596,85.64975,-159.35864,145.33094
2023-03-04,15947,7501561,3359807,-23.56361,57.30781,-177.24305,164.7888
2023-03-11,15695,7280137,3339854,8.33761,69.72166,-159.87194,146.62266
2023-03-16,16652,8385513,3821621,0.33333,50.00533,-170.08931,160.52597
2023-03-23,16823,7853116,3705002,0.6105,50.92721,-175.61289,145.17397
2023-03-28,22997,7284373,3412622,-24.86553,88.22869,-179.99747,179.13914
2023-04-04,17916,8810020,4218811,0.10978,87.38441,-159.37556,145.21898
2023-04-09,16271,8235199,3570233,0.68455,50.11032,-159.78366,146.65784
2023-04-16,18282,8848003,4139042,0.06667,68.38443,-159.5043,149.60356
2023-04-21,19114,9042997,4400514,0.38375,79.30716,-161.84563,178.84413
2023-05-03,18354,6844959,3375825,5.98098,50.11345,-159.35878,146.78368
2023-05-10,19769,8682883,4171732,-16.65763,85.82523,-171.76243,146.11429
2023-05-15,19550,8904499,4274732,0.56667,50.16218,-159.59232,146.11102
2023-05-22,19188,8656952,4010863,3.68333,51.14529,-159.81861,144.83662
2023-05-27,21157,8849940,4187917,0.80365,51.28322,-174.8261,145.83043
2023-06-08,20496,8920444,4367678,3.1347,87.66088,-176.04755,145.6343
2023-06-15,21116,8346960,4119730,2.18206,51.44017,-160.05889,145.48667
2023-06-20,20615,8638978,4154242,3.75127,85.53817,-159.61802,175.34671
2023-06-27,20662,9490450,4484056,0.65771,52.83964,-159.70537,145.39045
2023-07-09,22280,9678429,4618197,5.48549,61.4705,-165.41436,144.83661
2023-07-14,22864,9833527,4873535,6.25008,56.03397,-167.40497,149.60413
2023-07-21,23090,10023148,5041047,4.04451,50.96687,-174.15123,145.10138
2023-08-07,21620,7934897,3902515,0.18542,68.16059,-159.90499,145.57467
2023-08-19,22862,10007274,4937551,0.33333,85.73467,-162.68947,144.83661
2023-08-26,21896,8274648,4177458,3.3489,60.64714,-159.64291,145.15432
2023-08-31,20853,8962725,4217709,0.12335,79.61623,-178.23304,145.50653
2023-09-07,21260,9223892,4549933,0.55,87.07693,-163.85494,145.04204
2023-09-12,19974,8934377,4186871,0.06667,61.05899,-161.644,145.61166
2023-09-19,19128,8708796,4051294,11.16593,68.70947,-161.18564,158.525
2023-09-24,19026,8694069,3837720,0.59417,83.79888,-159.36054,144.98275
2023-10-01,20483,8016403,3752657,0.54688,54.31746,-161.06164,144.83663
2023-10-06,19837,8713903,4266157,-2.03319,86.32534,-160.37539,144.91533
2023-10-13,18744,8447972,4074529,0.7961,85.05666,-159.90016,145.64506
2023-10-18,17966,8473437,4025460,0.54688,50.23701,-162.42979,159.04112
2023-10-25,18251,8459537,3876213,2.33789,69.3508,-163.32349,145.7432
2023-10-30,17499,7898665,3596860,0.34687,51.49156,-162.3125,179.44299
2023-11-06,17436,7991405,3705494,4.08205,51.40909,-164.20848,176.14666
2023-11-11,16548,7459739,3373131,0.34703,89.62487,-160.24227,146.05303
2023-11-18,15945,7437152,3416499,0.66667,50.22225,-159.64003,146.66053
2023-11-23,14786,7224826,3144103,2.75005,50.10878,-161.54353,145.0115
2023-11-30,15939,7387455,3382220,2.91667,84.38025,-159.3588,145.81325
2023-12-05,16696,6452575,3179896,3.58333,57.28539,-165.10197,145.60002
2023-12-12,15642,7412771,3402843,0.33333,81.92114,-160.66354,146.17881
2023-12-17,15042,7565335,3224965,0.03333,88.32399,-173.73195,145.2633
2023-12-24,13912,7231189,2871188,10.28988,84.08552,-173.42949,145.87195
2023-12-29,15294,7400097,3200946,11.36155,85.88385,-161.39595,145.49857
2024-01-05,14825,7397034,3175761,0.87823,50.20277,-163.21437,146.27591
2024-01-10,15082,7024515,2981253,0.06667,52.00819,-160.77361,145.8183
