system:index,vh,vh_vv_ratio,vv,angle,date,dewpoint_temperature_2m,latitude,longitude,oil_candidate,orbit_direction,orbit_type,surface_net_solar_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction_degrees,wind_speed_10m,.geo,nasa_power_air_temp_2m,nasa_power_max_air_temp_2m,nasa_power_min_air_temp_2m,nasa_power_wind_speed_2m_m/s,nasa_power_precipitation_mm,nasa_power_solar_radiation_MJm2day
0_1_33,-55.10484789602322,1.2239766901703018,-45.021157950611006,45.59239959716797,2015-03-10,273.94403711954754,39.36853550007995,-76.01059248597983,1,0,ASC,1669555.1752618153,102131.1015625,276.24381319681805,0.0005429836610228259,-1.100690205891927,0.5533568859100342,-63.30966487822717,1.2319589167380798,"{""type"":""Point"",""coordinates"":[-76.01059248597983,39.36853550007995]}",5.05,10.24,0.18,1.38,12.41,5.51
0_1_139,-28.6298011108334,1.0507686273155532,-27.24653207811816,44.50476837158203,2015-03-10,274.69680404663086,39.03327481911461,-76.18847968650985,1,0,ASC,1725878.591928482,102296.89322916669,277.09000460306805,0.0006780080496540108,-1.5108871459960938,1.582450310389201,-43.67472072505315,2.187905151688962,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}",5.32,9.89,0.52,2.11,8.79,5.51
0_1_239,-29.58623036586794,1.1733924573607153,-25.214266701880437,44.56730651855469,2015-03-10,278.58303451538086,37.95935169625495,-75.94619901488262,1,0,ASC,3078623.4252618155,102394.18489583331,281.12784639994305,1.4646847970330633e-05,-1.5799789428710938,2.334810336430868,-34.08642728062965,2.819161713527708,"{""type"":""Point"",""coordinates"":[-75.94619901488262,37.95935169625495]}",5.64,9.45,2.95,1.89,1.52,6.78
0_1_250,-27.102570265905825,1.0936795657214715,-24.78108864366225,45.11518478393555,2015-03-10,278.48920313517254,37.71258471480023,-75.77961592134223,1,0,ASC,3218869.4252618155,102304.4765625,280.33935356140137,1.8672396014570345e-06,-1.5060450236002605,2.8149942557017007,-28.147146706649018,3.1925482412556714,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}",6.45,9.76,5.03,3.23,0.89,6.78
0_1_290,-27.075434896979274,1.1230067662498355,-24.10977004830957,43.94267654418945,2015-03-10,276.3682721455892,38.73392230176207,-76.24842717678327,1,0,ASC,1981720.7585951488,102305.2265625,279.0384095509847,0.00029004700474644096,-1.3993148803710938,1.8301716645558677,-37.40084925807354,2.303825179168585,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}",5.35,8.64,1.58,1.99,4.3,4.77
0_1_301,-25.27201160839632,1.0068294143945151,-25.10058928263865,40.38883209228516,2015-03-10,281.24221420288086,37.199262478617065,-76.65976736977741,1,0,ASC,2710682.008595149,102139.80989583331,284.6638978322347,3.069638481179027e-07,0.3892186482747395,1.554862419764201,14.053688591581867,1.602837577722647,"{""type"":""Point"",""coordinates"":[-76.65976736977741,37.199262478617065]}",12.75,18.66,5.59,1.07,0.13,5.84
0_1_384,-26.07466961866012,1.1187420083283728,-23.30713374893373,40.72274398803711,2015-03-10,279.34784571329754,37.8070165520791,-76.72082444657929,1,0,ASC,2290169.258595149,102078.01822916669,282.1638978322347,2.0455196427349165e-05,-0.5658187866210938,1.0921752452850342,-27.387135003500173,1.2300397008661108,"{""type"":""Point"",""coordinates"":[-76.72082444657929,37.807016552079105]}",7.11,11.6,2.4,0.45,2.69,5.84
0_1_396,-27.812877841999427,1.1414021122995677,-24.367291371106013,41.305763244628906,2015-03-10,279.66840235392254,37.66804204662815,-76.5763059713333,1,0,ASC,2365250.091928482,102134.01822916669,282.3203919728597,1.0819733070377424e-05,-0.6751937866210938,1.3138549327850342,-27.198760476428863,1.4771937699216369,"{""type"":""Point"",""coordinates"":[-76.5763059713333,37.66804204662815]}",10.19,15.42,4.24,0.69,0.75,5.84
0_1_398,-28.83832370884104,1.1153326928054634,-25.85625248400302,43.1431884765625,2015-03-10,281.55300521850586,36.94709711009913,-76.04567074652736,1,0,ASC,3638411.675261816,102312.18489583331,283.78417778015137,3.069638481179027e-07,-0.370831807454427,2.935274203618368,-7.200392749155962,2.9586062394051966,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}",10.63,14.74,5.62,2.54,0.21,9.71
0_1_399,-24.640630340310608,1.03927973386176,-23.70933401034469,40.3559799194336,2015-03-10,281.24221420288086,37.158555875725824,-76.65732967341695,1,0,ASC,2710682.008595149,102139.80989583331,284.6638978322347,3.069638481179027e-07,0.3892186482747395,1.554862419764201,14.053688591581867,1.602837577722647,"{""type"":""Point"",""coordinates"":[-76.65732967341697,37.158555875725824]}",12.75,18.66,5.59,1.07,0.13,5.84
